dataset,seed,n_train_full,n_train_ref,n_test,D,anom_frac,auroc_iso_loo,t_iso_loo_s,auroc_iso_trim_loo,t_iso_trim_loo_s,auroc_trim_isonorm_blend,t_trim_isonorm_blend_s,wallclock_s
29_Pima,2,250,250,518,8,0.5173745173745173,0.7056268656716418,0.0352082252502441,0.7056268656716418,0.0354700088500976,0.7056268656716418,0.0395665168762207,0.1135008335113525
2_annthyroid,0,3333,2000,3867,6,0.1380915438324282,0.9232631128281368,1.749760627746582,0.9230046600165634,1.7417140007019043,0.9228276760260294,1.8320271968841553,5.355379104614258
2_annthyroid,1,3333,2000,3867,6,0.1380915438324282,0.9484942876310104,1.675499677658081,0.9357300898629188,1.694545030593872,0.9357615536834584,1.7643508911132812,5.14259147644043
2_annthyroid,2,3333,2000,3867,6,0.1380915438324282,0.917299033274114,1.70011568069458,0.926925838651281,1.7140533924102783,0.9269084211791966,1.782601833343506,5.20504903793335
30_satellite,0,2199,2000,4236,36,0.4806421152030217,0.8624573584568673,7.797101736068726,0.871213163064833,7.9702723026275635,0.8711990980532237,8.101340532302856,23.89181113243103
30_satellite,1,2199,2000,4236,36,0.4806421152030217,0.8694307019110555,7.756830453872681,0.8757516967315593,7.96250057220459,0.8757612966601179,8.074503660202026,23.80433249473572
30_satellite,2,2199,2000,4236,36,0.4806421152030217,0.868787283443472,7.794697046279907,0.8751417663868548,7.997641801834106,0.8750296928022862,8.10662055015564,23.910576581954956
31_satimage-2,0,2866,2000,2937,36,0.024174327545114,0.9988697011096588,7.482009649276733,0.998628898302586,7.4932451248168945,0.9986583843605948,7.603466510772705,22.608824729919434
31_satimage-2,1,2866,2000,2937,36,0.024174327545114,0.9975870575862712,7.449434757232666,0.9979900337123928,7.492835760116577,0.99811289228743,7.579653978347778,22.536160945892338
31_satimage-2,2,2866,2000,2937,36,0.024174327545114,0.9989876453416944,7.531092643737793,0.9988549580806542,7.575554132461548,0.998894272824666,7.6647748947143555,22.78586268424988
32_shuttle,0,22793,2000,26304,9,0.1334777980535279,0.998642919833915,3.82711410522461,0.9988813916658292,4.918871879577637,0.9988796297433654,5.438203573226929,14.240790605545044
32_shuttle,1,22793,2000,26304,9,0.1334777980535279,0.998608880991422,3.973926782608032,0.9986279872286364,4.919022083282471,0.9986279372450204,5.254852533340454,14.186511993408203
32_shuttle,2,22793,2000,26304,9,0.1334777980535279,0.999150878331469,4.581684827804565,0.9991535899426368,4.874213457107544,0.9991523778399488,5.20779013633728,14.703532695770264
33_skin,0,97099,2000,147958,3,0.343739439570689,0.9749495428494792,6.74422812461853,0.986730841110352,12.340871810913086,0.9867632567429712,14.010628461837769,33.27040457725525
33_skin,1,97099,2000,147958,3,0.343739439570689,0.9754758881404484,6.716277837753296,0.9901517829213226,12.302973747253418,0.9901148269131748,13.92010235786438,33.070943117141724
33_skin,2,97099,2000,147958,3,0.343739439570689,0.946776074290722,6.520045042037964,0.9885192727968912,11.950127363204956,0.988518082117732,13.578692197799684,32.17798852920532
34_smtp,0,47563,2000,47593,3,0.0006303447986048,0.9434420312708056,2.7987022399902344,0.914206420957467,3.817339181900024,0.914206420957467,4.383538484573364,11.08983564376831
34_smtp,1,47563,2000,47593,3,0.0006303447986048,0.9224158834948736,2.7795448303222656,0.8873360945833246,3.803955316543579,0.8873360945833246,4.3600828647613525,11.007437229156494
34_smtp,2,47563,2000,47593,3,0.0006303447986048,0.919597866689093,2.8020219802856445,0.906512064700152,3.872331142425537,0.906512064700152,4.4451820850372314,11.187083959579468
35_SpamBase,0,1264,1264,2943,57,0.5705062861026163,0.8647839845899835,4.783952236175537,0.8670231112551926,4.8611931800842285,0.8679937764341341,4.92777681350708,14.616745710372925
